16606.7	84
16606.3	84.75
16605.8	83.75
16605.4	82.5
16604.9	83.75
16604.5	82.5
16604	83
16603.6	83.25
16603.1	84.5
16602.7	82
16602.2	82.5
16601.8	81.5
16601.3	84.75
16600.9	82.5
16600.4	86
16600	81.75
16599.5	85.75
16599.1	84.5
16598.6	86.25
16598.2	86.75
16597.7	83
16597.3	83.5
16596.8	86.25
16596.4	84.25
16595.9	83.5
16595.5	83
16595	84.25
16594.6	82.5
16594.1	83.25
16593.7	86.5
16593.2	84.75
16592.8	83.75
16592.3	85.5
16591.9	85.5
16591.4	84.5
16591	84
16590.5	84
16590.1	82.5
16589.6	85
16589.2	86
16588.7	85.5
16588.3	85.5
16587.8	84.25
16587.4	86
16586.9	84.75
16586.5	84
16586	89.5
16585.6	84.5
16585.1	85.25
16584.7	84.75
16584.2	84.75
16583.8	85.75
16583.3	86.75
16582.9	88.25
16582.4	86.75
16582	86
16581.5	84
16581.1	86.5
16580.6	84.5
16580.2	85.75
16579.7	87.25
16579.3	87.25
16578.8	87.5
16578.4	83.75
16577.9	89
16577.5	85.25
16577	88.75
16576.6	90.5
16576.1	85.5
16575.7	88.25
16575.2	85.25
16574.8	87
16574.4	88.5
16573.9	91.25
16573.5	90
16573	88.5
16572.6	88.75
16572.1	89.5
16571.7	90.75
16571.2	90
16570.8	90
16570.3	91.75
16569.9	95.75
16569.4	95.5
16569	98
16568.5	101
16568.1	103.5
16567.6	106
16567.2	108.25
16566.7	118.25
16566.3	138.75
16565.8	166.5
16565.4	224.5
16565	349.75
16564.5	840
16564.1	2351.25
16563.6	4986
16563.2	7558.25
16562.7	9043.75
16562.3	9318
16561.8	9244.75
16561.4	9212
16560.9	9263
16560.5	9275.25
16560	8933.5
16559.6	7717.25
16559.1	5418
16558.7	2659.25
16558.2	771
16557.8	210.25
16557.4	123.5
16556.9	108.5
16556.5	105
16556	99.25
16555.6	99.25
16555.1	94
16554.7	96.75
16554.2	96.5
16553.8	90.75
16553.3	94.25
16552.9	92
16552.4	93
16552	90.75
16551.6	90
16551.1	89
16550.7	90
16550.2	90.5
16549.8	90
16549.3	87.75
16548.9	85.75
16548.4	89.25
16548	89.5
16547.5	91
16547.1	86.5
16546.7	90.5
16546.2	87.75
16545.8	87.25
